,fire_index,Temp_pre_15,Wind_pre_15,Hum_pre_15
275,1375,27.04975124,3.0346268660000004,43.15621891
276,1376,9.736072423,1.920752089,78.65499124
277,1386,8.797771588,1.660724234,65.59610028
278,1393,22.264736300000003,1.96246122,43.37787056
279,1396,11.15042493,3.903116147,62.875
280,1399,4.87475,3.41875,52.99748744
281,1407,24.53824885,3.5700460830000003,60.97695853
282,1423,8.736111111,3.8818013,69.66952381
283,1430,18.84044527,3.343784787,38.21057514
284,1432,11.97770492,2.219173554,81.19642857
285,1436,28.15663507,1.691943128,76.25238095
286,1437,27.81136364,1.468181818,74.44277108
287,1443,29.1660767,1.626548673,59.03539823
288,1451,4.87804878,2.955875831,68.04822335
289,1454,24.02466125,3.527100271,40.8125
290,1455,11.85083333,5.439106145,64.86871508
291,1459,27.18685446,1.678823529,76.22823529
292,1466,26.16498906,3.501342282,72.91946309
293,1474,22.26495468,3.861329305,39.0304878
294,1489,7.546242775,2.468208092,56.95652174
295,1490,8.337222222000001,4.649722222,62.11144578
296,1494,27.59670659,1.5835329340000002,74.70658683
297,1496,1.389782403,3.3921475880000003,60.05086372
298,1504,30.84481013,1.795696203,62.52151899
299,1509,13.54054054,3.348648649,64.9921875
300,1512,12.23314607,2.358950328,59.278457200000005
301,1518,11.90738786,2.483905013,48.933687
302,1519,37.18644068,4.23559322,14.05084746
303,1522,22.21231061,1.859090909,70.72030651
304,1527,4.3380555560000005,4.119722222,52.14206128
305,1528,17.95728877,1.90724234,68.84341253
306,1531,16.13350923,4.639050132,19.44063325
307,1536,20.26506024,2.831927711,55.81024096
308,1539,-5.981111111000001,4.675277778,86.83974359
309,1542,24.87356322,4.958139535,34.25581395
310,1543,10.0090573,2.320999075,74.98400753
311,1545,12.22241993,2.944464286,56.69105691
312,1554,26.09650538,2.709433962,60.59016393
313,1564,31.31587302,1.568253968,35.26984127
314,1566,12.85714286,3.823714286,30.80857143
315,1568,21.12955032,2.719271949,69.74518201
316,1582,20.31937618,2.110552268,67.69526627
317,1585,17.09906542,3.1090654210000004,67.05093046
318,1593,1.820090293,4.279638009,58.99547511
319,1596,11.84766187,2.164928058,69.0
320,1597,15.96883853,1.749291785,61.38056206
321,1608,13.71638889,2.76,74.29722222
322,1613,8.107806691,1.828996283,56.06593407
323,1620,4.8659217880000005,2.89981378,69.65355805
324,1624,24.49094488,5.012992126,41.644
325,1627,2.881481481,3.149257885,58.83771107
326,1628,10.97383513,3.794265233,62.61313869
327,1629,20.76792453,2.069212411,42.11455847
328,1633,26.00377003,3.356927427,57.76248822
329,1634,21.4364486,3.880093458,32.84817245
