fire_id,km_class7,km_class15,km_class30,km_pca_class7,km_pca_class15,km_pca_class30,hc_class7,hc_class15,hc_class30,km_scaled_class7,km_scaled_class15,km_scaled_class30
15911,0,0,3,1,0,2,2,2,2,2,2,2
15919,2,2,2,1,0,2,2,2,2,2,2,2
15925,0,0,3,1,0,2,2,2,2,2,2,2
15927,0,3,0,2,1,0,0,0,0,0,0,0
15930,0,3,3,1,0,0,0,2,0,0,2,0
15932,0,3,0,2,1,0,0,0,0,0,0,0
15934,0,3,0,1,0,2,2,2,2,2,2,2
15942,0,0,3,1,0,2,2,2,2,2,2,2
15944,2,0,3,1,0,0,2,2,0,2,2,0
15951,0,0,3,1,0,2,2,2,2,2,2,2
15956,2,2,0,0,1,0,0,0,1,0,0,1
15957,0,3,0,1,0,2,2,2,2,2,2,2
15958,0,3,0,2,1,0,0,1,0,0,1,0
15962,0,0,2,1,0,2,2,0,1,2,0,1
15963,2,0,3,1,0,2,2,0,0,2,0,0
15965,1,1,1,0,2,1,1,1,1,1,1,1
15968,2,0,2,2,1,0,0,0,0,0,0,0
15971,1,1,1,0,2,1,1,1,1,1,1,1
15972,0,0,3,2,0,2,2,0,2,2,0,2
15974,2,3,3,2,1,0,2,0,0,2,0,0
15982,1,1,2,0,2,2,2,1,2,2,1,2
15989,0,3,0,1,1,0,2,0,1,2,0,1
15993,0,2,3,1,1,0,2,0,0,2,0,0
15995,0,3,0,2,1,0,0,0,0,0,0,0
16004,0,3,2,1,2,1,2,1,1,2,1,1
16005,2,0,3,2,0,2,2,2,0,2,2,0
16010,2,2,3,2,0,2,0,2,2,0,2,2
16011,2,0,0,2,1,0,0,0,0,0,0,0
16013,0,0,3,2,1,0,0,0,0,0,0,0
16017,0,3,0,2,1,0,0,0,0,0,0,0
16022,0,0,3,1,0,2,2,2,2,2,2,2
16032,2,0,3,2,0,2,2,2,2,2,2,2
16040,0,3,0,2,1,0,0,0,0,0,0,0
16048,2,2,2,1,0,2,2,2,1,2,2,1
16058,0,3,0,2,1,0,0,0,0,0,0,0
16063,0,3,0,2,1,0,0,0,0,0,0,0
16069,0,0,3,1,0,0,0,2,0,0,2,0
16070,2,3,0,2,1,0,0,0,0,0,0,0
16074,0,3,0,2,1,0,0,0,0,0,0,0
16078,0,3,0,2,1,0,0,0,0,0,0,0
16085,0,0,3,1,0,2,2,2,2,2,2,2
16089,2,0,3,2,1,0,0,0,0,0,0,0
16092,0,3,0,2,1,0,0,0,0,0,0,0
16105,2,2,2,2,1,0,2,0,0,2,0,0
16112,2,2,2,2,1,0,0,0,0,0,0,0
16114,1,2,1,0,2,1,1,1,1,1,1,1
16115,2,2,2,0,2,1,1,1,1,1,1,1
16120,0,0,3,1,0,2,2,2,2,2,2,2
16122,0,3,0,2,1,0,2,0,1,2,0,1
16124,2,0,3,1,0,2,2,2,2,2,2,2
16125,2,0,3,1,0,2,0,2,2,0,2,2
16132,2,2,2,2,1,0,0,0,1,0,0,1
16134,0,0,3,2,1,0,0,0,0,0,0,0
16136,2,0,3,1,0,2,2,2,2,2,2,2
16137,0,0,3,1,0,2,0,2,2,0,2,2
16138,2,2,2,0,2,1,2,1,1,2,1,1
16141,0,3,0,1,0,2,2,2,2,2,2,2
16143,0,3,0,2,1,0,0,0,0,0,0,0
16146,1,2,1,0,2,1,1,1,1,1,1,1
16148,0,0,3,1,0,2,2,2,2,2,2,2
16149,2,0,3,1,0,2,2,2,0,2,2,0
16157,1,1,1,0,2,1,1,1,1,1,1,1
16160,2,2,2,0,2,1,2,1,2,2,1,2
16162,2,2,3,1,0,2,2,2,2,2,2,2
16168,2,0,3,1,0,2,2,2,0,2,2,0
16170,0,3,0,2,1,0,0,0,0,0,0,0
16173,0,3,0,2,1,0,0,0,0,0,0,0
16180,2,0,3,2,0,2,2,0,2,2,0,2
16181,0,0,3,1,0,2,2,2,2,2,2,2
16182,0,3,0,2,1,0,2,0,0,2,0,0
16187,2,2,2,0,2,1,2,1,1,2,1,1
16190,0,0,3,1,0,0,2,2,0,2,2,0
16194,0,0,3,2,1,0,0,0,0,0,0,0
16196,0,3,0,1,0,2,2,0,0,2,0,0
16206,1,2,2,0,2,1,1,1,1,1,1,1
16209,2,2,3,2,1,0,0,0,0,0,0,0
16213,1,1,1,0,2,1,1,1,1,1,1,1
16216,0,3,2,2,1,0,0,0,1,0,0,1
16218,2,2,2,2,1,0,0,0,0,0,0,0
16219,1,1,1,0,2,1,1,1,1,1,1,1
16230,2,2,2,0,2,1,1,1,1,1,1,1
16231,0,0,3,2,1,0,0,0,0,0,0,0
16232,0,3,0,1,1,0,2,0,0,2,0,0
16236,2,2,0,0,0,2,2,1,2,2,1,2
16241,2,2,2,2,2,1,0,1,1,0,1,1
16244,2,0,3,2,0,2,0,2,0,0,2,0
16247,2,0,3,1,0,2,2,2,2,2,2,2
16249,2,0,3,2,0,2,2,2,2,2,2,2
16251,1,2,2,0,2,1,1,1,1,1,1,1
16253,0,0,3,2,1,0,0,0,0,0,0,0
16260,2,2,3,2,1,2,0,0,2,0,0,2
16261,0,3,3,1,0,2,2,2,2,2,2,2
16265,1,1,2,0,2,1,1,1,1,1,1,1
16270,0,0,3,1,0,2,2,2,2,2,2,2
16273,0,3,0,1,0,2,2,0,2,2,0,2
16280,1,1,1,0,2,1,1,1,1,1,1,1
16286,0,0,3,2,1,0,0,0,0,0,0,0
16295,2,0,3,1,0,2,2,2,2,2,2,2
16296,2,0,2,1,0,1,2,2,2,2,2,2
16299,0,0,3,1,0,2,0,2,2,0,2,2
16305,1,1,1,0,2,1,1,1,1,1,1,1
16312,0,3,0,2,1,0,0,0,0,0,0,0
16313,0,0,3,1,0,2,2,2,2,2,2,2
16325,0,0,3,1,0,2,2,2,2,2,2,2
16331,2,0,3,2,1,0,2,0,0,2,0,0
16332,2,0,3,1,0,2,2,2,2,2,2,2
16342,2,0,2,2,1,0,2,0,0,2,0,0
16346,2,2,2,1,0,1,2,2,1,2,2,1
16348,1,1,1,0,2,1,1,1,1,1,1,1
16353,0,0,3,1,0,2,2,2,2,2,2,2
16354,0,0,3,1,0,2,2,2,2,2,2,2
16355,2,3,0,0,2,1,2,1,1,2,1,1
16357,1,1,1,0,2,1,1,1,1,1,1,1
16366,0,0,3,1,0,2,2,2,2,2,2,2
16368,2,2,3,2,0,2,2,2,2,2,2,2
16370,1,1,1,0,2,1,1,1,1,1,1,1
16372,2,2,2,1,2,0,2,0,1,2,0,1
16373,0,0,3,1,0,2,0,2,2,0,2,2
16374,0,0,3,1,0,2,2,2,2,2,2,2
16379,2,2,3,1,0,2,2,2,2,2,2,2
