,fire_name,discovery_month,putout_time,year
1536,HAWK CREEK,Aug,0,1998
1539,RADIO RANGE,Feb,0,2013
1542,HONDAH,Aug,0,2002
1543,LIVINGSTON - 52,Feb,0,2011
1555,PETERSONII,Oct,1,1995
1564,H. GROUND,Aug,0,1993
1565,RIDGE,Aug,0,1995
1566,MOSQUITO CREEK,May,1,2004
1567,11-00098,Jun,0,2011
1568,"9769 HWY 159, AL",May,0,2011
1583,HOLIDAY,Jul,0,2013
1585,FY2013-DECATUR-006,Nov,0,2012
1593,GOOD FRIDAY,Mar,0,2008
1599,PENNER POND 21,Aug,2,2014
1604,RL636,May,0,2002
1608,SAPLIN HEAD,Feb,0,2013
1610,WEBB ROAD,Feb,1,1992
1613,GREEN PASTURES FIRE,Feb,0,2012
1620,GARDEN BURNER,Mar,0,2008
1624,HOURGLASS,Jul,6,1994
1626,LIME KILN #1,Aug,0,1996
1629,MELTON 1,Aug,31,2015
1633,30463,Sep,0,2011
1634,JOSHUA,Jun,8,2007
1639,15-0156,Sep,0,2015
1642,FY2012-DOOLY-025,May,0,2012
1643,JOHN STARR,Aug,3,2012
1665,17-PILGRIM TRAIL FIRE-0309,Feb,0,2011
1669,C-1 WASH,Jul,1,1996
1670,LAWN MOWER MAN,Nov,0,2010
1673,FIRE BALL,Feb,1,1996
1677,LEWIN,Aug,0,1998
1681,BIG HLW 2,Jul,0,1993
1687,MERRIWEATHER,Dec,1,2009
1688,BANKS,Apr,0,2010
1694,A. J. LANE,Jul,0,2013
1695,FY2011-CALHOUN-034,May,0,2011
1705,HEISLER RD (32),Jan,0,2014
1707,OTA 11,Aug,0,1994
1710,ASH,Oct,0,1995
1711,RUUD,Apr,0,2014
1712,LESLIE,Aug,0,1992
1713,KING RUN ROAD,Apr,0,1998
1714,DEAD CALF,Mar,0,2013
1717,STONE HOUSE RD.,Apr,0,2003
1718,WALATOWA,Jun,1,2010
1719,CAP1,Apr,0,1994
1720,MULE PASS,May,3,2009
1737,WINNIE DAM #1,Apr,0,2005
1751,SECTION 30,May,1,1993
1755,ANDERSONBR,Jun,0,1994
1761,FY2014-MACON-010,Mar,0,2014
1762,NORTH BEAVER CREEK,Jun,1,2004
1764,"27301 CORD 32, AL",Mar,0,2011
1772,B FIREHOLE,Aug,0,1997
1776,BOLGER FIRE,Mar,0,2014
1788,008-032,Mar,0,2008
1791,TH1815,Oct,1,1999
1792,FY2015-EARLY-015,Mar,0,2015
1794,FY2012-MERIWETHER-006,Aug,0,2011
1795,NOT READY,Jun,1,2004
1797,LINDEN - 235,Jun,0,2011
1811,CAN,Sep,0,1995
1817,RT301EAST,Jul,0,1997
1818,BUTTERMILK,Jul,1,1994
1819,"1724 ROBERTSMILL POND RD, AL",Mar,0,2011
1835,MHM SE 36,Jun,92,1993
1837,JACK KNIFE II,Aug,0,2006
1852,JEFFERSON,Oct,2,2003
1855,PAPOOSE,Aug,91,2007
1861,WESTWATER 1,Jul,3,2009
1869,DEER VALLEY FIRE,Feb,0,2015
1870,RL212,Apr,0,2002
1878,35 E,Feb,0,2015
1881,EUCALYPTUS 2 (26),Jul,0,2015
1882,WATER TOWER,Mar,0,1995
1883,NESP DUMP,Jul,0,2005
1892,STEAMHOLLO,Apr,2,1996
1898,HARMON II,Nov,0,2011
1902,DITCH,Aug,0,1994
1906,17 - HWY 90 FIRE,Feb,0,2011
1909,LOST 2,Apr,1,2008
1913,30445,Aug,0,2011
1922,(OK) LARSONS (746),Dec,0,2010
1923,RED HOUSE 2,Jul,12,2007
1926,15-BLUE DUCK FIRE SET 2-0121,Mar,0,2011
1939,FY2015-RANDOLPH-009,Jan,0,2015
1945,MS2208,Apr,0,1998
1949,UPO,Nov,0,2011
1955,RED LAKE 069,Mar,0,2012
1959,FY2003-BARTOW-006,Aug,0,2002
1961,8TH HOLE,Jun,2,2000
1962,SNIDER,Mar,0,1995
1971,FRANKS RD FIRE,Oct,0,2011
1974,SQUIRREL,Jun,1,1999
