,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
1002,1.0,Accidental,37.95704,-86.13524,KY,Mar,0,2010
1003,2.0,Debris Burning,31.60720273,-89.63028941,MS,Sep,0,1999
1006,2.51,Accidental,32.62073868,-83.34583685,GA,Jan,0,2011
1010,1.0,Accidental,43.9592,-99.2376,SD,Jul,0,2000
1013,360.0,Debris Burning,36.4739,-96.6853,OK,Apr,0,2002
1014,0.6,Debris Burning,43.0038,-76.222,NY,May,0,2015
1016,15.0,Lightning,36.78,-107.2744444,NM,Aug,0,2002
1018,0.65,Utilities,47.4922,-117.4899,WA,Jun,6,2015
1022,5.0,Lightning,42.12944444,-105.3236111,WY,Jun,0,2002
1023,1.0,Debris Burning,31.63911778,-90.25931278,MS,Sep,0,2015
1030,95.0,Arson,34.9846667,-94.97000001,OK,Jan,0,2011
1031,2.0,Debris Burning,35.52415,-84.95835,TN,Nov,0,2014
1035,0.75,Lightning,44.94805556,-119.7075,OR,Jul,2,2008
1040,4.0,Lightning,29.0151,-80.9726,FL,Jul,0,2015
1041,15.0,Lightning,44.95083333,-112.76666670000002,MT,Jul,1,2003
1045,0.75,Debris Burning,32.142708899999995,-88.11415190000001,AL,Feb,0,2011
1062,3.0,Debris Burning,48.4667,-108.6007,MT,Apr,0,1999
1077,20.0,Debris Burning,33.895671,-86.963599,AL,Jan,0,2009
1079,7.0,Arson,34.30679716,-89.67820616,MS,Mar,0,1998
1082,25.0,Arson,31.691048,-88.27058199999999,AL,Feb,0,2009
1083,3.0,Lightning,35.7917,-109.1932,AZ,Jul,0,2006
1085,9.0,Arson,35.8003,-94.53392,OK,Feb,0,2013
1086,3.8,Utilities,35.79222222,-82.01472222,NC,Feb,0,2011
1087,3.5,Debris Burning,48.1109,-105.3189,MT,Apr,0,1995
1089,5.0,Utilities,39.5214825,-78.32149812,WV,Jul,0,1999
1093,1.0,Arson,45.563,-107.6611,MT,Jan,0,2006
1097,1.0,Debris Burning,36.51855,-86.556833,TN,Mar,0,2014
1099,80.0,Utilities,45.71166667,-102.5286111,SD,Aug,0,2006
1101,750.0,Arson,47.92056,-95.37611,MN,Apr,0,2010
1103,1.0,Arson,34.6769444,-93.2147222,AR,Sep,0,2010
1104,1.0,Arson,37.81888889,-91.93388889,MO,Apr,1,2000
1105,61.0,Arson,34.97711577,-89.32270676,MS,Mar,0,1994
1110,13.0,Arson,34.992608000000004,-87.255062,AL,Mar,0,2006
1122,168.3,Utilities,45.27,-107.6309,MT,Aug,0,2008
1129,1.0,Utilities,36.17985,-75.84795,NC,Jul,0,2013
1131,100.0,Lightning,38.8333,-109.8173,UT,Jul,0,1993
1136,1.08,Arson,31.6179,-81.6144,GA,Jun,1,1996
1140,12.98,Debris Burning,32.2356,-83.5304,GA,Jan,0,2001
1151,0.6,Accidental,44.0772,-99.4571,SD,Apr,0,2002
1152,2.0,Debris Burning,31.5288425,-89.35136159,MS,Mar,0,1993
1153,1.0,Lightning,45.66833333,-118.04833329999998,OR,Jul,0,1998
1157,2.0,Arson,30.38334452,-88.64694805,MS,Sep,0,1995
1182,0.75,Debris Burning,48.6419,-119.1895,WA,Aug,69,2015
1183,60.0,Arson,34.9286369,-89.54180698,MS,Sep,0,1999
1199,1.0,Lightning,35.8911,-108.8073,NM,Aug,0,2005
1207,43.7,Utilities,43.202603,-86.09146,MI,Jul,0,2013
1210,6.5,Lightning,44.6061,-105.3747,WY,Aug,1,2009
1211,1.0,Utilities,27.4463,-82.4795,FL,Feb,0,2011
1212,300.0,Accidental,37.96294298,-81.40544539,WV,Apr,1,2014
1213,224.0,Lightning,30.35333333,-82.52694444,FL,Aug,1,2013
1214,4.0,Debris Burning,31.3266,-81.8971,GA,Apr,0,2001
1216,1.0,Arson,30.567285,-88.199508,AL,May,0,2004
1224,10.0,Debris Burning,32.691990000000004,-81.113876,SC,Mar,0,2012
1231,24.0,Utilities,36.68361,-85.61339,KY,Nov,0,2009
1235,57.0,Lightning,67.983,-147.7194,AK,Jun,8,2004
1236,2.0,Accidental,39.55455495,-80.10804517,WV,Nov,0,2005
1244,30.0,Utilities,34.171341,-79.426468,SC,Jun,0,2014
1245,6.0,Utilities,34.15802726,-90.01556641,MS,Aug,0,1996
1247,1.5,Accidental,30.91638889,-83.02333333,GA,Jan,0,2014
1260,25.0,Accidental,34.8972,-114.6331,AZ,Jul,4,2015
1268,15.0,Debris Burning,31.61454737,-89.86451855,MS,Aug,0,1992
1271,76.0,Lightning,38.75,-112.7174,UT,Jul,2,1994
1276,21.0,Debris Burning,30.83833333,-95.82066667,TX,Jul,0,2014
1277,2.0,Arson,37.989414,-120.412489,CA,Oct,0,2007
1280,12.79,Debris Burning,31.8415,-83.915,GA,Sep,0,1996
1285,4.0,Arson,47.087222,-68.048611,ME,Jul,0,2013
1291,18.0,Debris Burning,38.554,-82.8766,KY,Oct,1,2015
1294,2.2,Accidental,48.41666667,-107.73333329999998,MT,Sep,0,1996
1297,2.17,Debris Burning,30.77560111,-84.54970796,GA,Aug,0,2011
1298,35.0,Debris Burning,37.97974,-83.27219000000001,KY,Apr,0,2010
1301,5.0,Debris Burning,36.341666700000005,-83.105,TN,Apr,0,2005
1304,2613.0,Arson,36.8039,-96.2222,OK,Mar,3,2010
1309,1.0,Arson,47.9472,-117.9017,WA,Jun,3,2014
1310,1.0,Debris Burning,43.73333333,-85.7,MI,May,0,2000
1311,40.0,Arson,32.90267852,-89.65007209,MS,Mar,0,1993
1312,0.8,Arson,47.8725,-94.9872,MN,Apr,0,2009
1323,1.0,Accidental,43.0839,-102.5936,SD,Jun,0,2006
1327,3.0,Arson,33.3001,-110.434,AZ,Jul,0,1992
1328,23.8,Lightning,35.76823,-106.29758,NM,May,2,1993
1335,5.0,Arson,30.95070175,-88.71448482,MS,Mar,0,2013
1336,3.0,Utilities,31.81123333,-95.6897,TX,Aug,0,2011
1339,5.0,Lightning,30.42027778,-94.66861111,TX,Aug,0,2009
1344,0.85,Arson,44.49334173,-73.43414422,NY,May,0,2009
1348,9.9,Utilities,31.1381,-81.9779,GA,Apr,0,1997
1357,0.75,Debris Burning,40.7575,-76.39,PA,Mar,3,2015
1366,2.0,Arson,32.05669182,-88.63343168,MS,Sep,0,1995
1368,1.1,Debris Burning,32.45363889,-81.70655556,GA,Mar,0,2013
