state,discovery_month,fire_cause,Temp_pre_30,Wind_pre_30,Hum_pre_30,putout_time,fire_size_bin,fire_size_bin_no
NC,Sep,Debris Burning,24.70160714,2.117589286,82.40760296,0,Teacup,1
OR,Apr,Debris Burning,4.915457788,3.067305389,65.07305389,0,Teacup,1
OK,Mar,Arson,8.212009804,3.972303922,68.47809762,1,Medium,4
TX,Aug,Arson,31.36450839,3.699088729,54.34951923,0,Mini,3
PA,Mar,Debris Burning,6.395727848,3.365822785,73.38492063,0,Teacup,1
MS,Feb,Arson,9.429131653,1.929691877,66.30812325,0,Toy,2
GA,Nov,Arson,8.930564784,1.571262458,63.46511628,0,Teacup,1
FL,May,Lightning,24.22857143,3.632857143,63.33333333,0,Teacup,1
MT,Oct,Utilities,12.63733133,2.879610195,55.36746988,6,XL,6
SC,Jun,Debris Burning,23.90183185,1.7176139030000002,62.07377557,0,Medium,4
AZ,Jun,Accidental,30.28623853,3.503669725,26.36085627,0,Toy,2
FL,May,Debris Burning,25.85011628,3.746503497,74.00233100000001,0,Teacup,1
NY,May,Arson,9.117012448,6.067081604,62.63378176,0,Teacup,1
WV,Mar,Debris Burning,3.189984512,1.997934951,74.59475219,0,Teacup,1
NM,Apr,Accidental,20.83819163,5.643184885,17.86774629,24,XL,6
ID,Jul,Lightning,18.59821429,3.750446429,53.27927928,66,Teacup,1
MS,Mar,Arson,14.93794326,2.831560284,71.12056738,0,Teacup,1
PA,Mar,Arson,8.497729337,2.781053604,63.19553073,0,Teacup,1
ID,Jul,Lightning,17.78218284,1.6719216419999998,52.41261682,2,Teacup,1
GA,Feb,Debris Burning,9.38121547,3.763157895,59.29113924,0,Teacup,1
GA,Nov,Debris Burning,19.29247515,2.254330336,63.55935148,0,Mini,3
OK,Aug,Arson,29.13623726,2.537720111,59.66450417,0,Teacup,1
MS,Mar,Arson,11.40111421,2.025069638,66.71866295,0,Mini,3
ID,Jun,Lightning,15.47894737,3.208947368,59.05882353,0,Teacup,1
GA,Jun,Accidental,23.53739931,2.500690449,70.875,0,Toy,2
ID,Sep,Lightning,22.24421351,2.1866792630000003,38.64666982,1,Mini,3
MS,Apr,Arson,16.40099291,3.79828816,67.79970759999999,0,Teacup,1
ID,Jun,Accidental,17.22717391,4.811956522,43.51648352,0,Medium,4
AL,Feb,Debris Burning,10.91139665,2.260893855,71.54336043,0,Mini,3
OK,Oct,Arson,19.23836406,1.264426419,63.9321075,0,Teacup,1
CA,Oct,Accidental,20.28753181,3.437070938,56.18203883,0,Teacup,1
NC,Apr,Debris Burning,15.44738331,4.013861386,69.44192635,6,Medium,4
GA,Jun,Accidental,24.09643255,2.461315496,68.20205479,0,Teacup,1
MN,Mar,Accidental,-6.874204601000001,2.614838394,73.41778254,0,Teacup,1
MS,Mar,Debris Burning,5.152929493999999,2.904982561,68.37493606,0,Mini,3
MT,Apr,Debris Burning,6.970588235,3.682352941,56.36115108,0,Toy,2
MS,Feb,Arson,11.60888889,3.269583333,69.71139971,0,Toy,2
CA,Jul,Arson,23.45305556,3.5415277780000003,68.89444444,0,Teacup,1
CO,Mar,Debris Burning,2.91875,1.91305483,66.17109145,3,Toy,2
MS,Oct,Debris Burning,18.51681159,2.055878084,70.66521106,0,Medium,4
OK,Jan,Arson,7.492900608999999,2.90831643,71.34608031,0,Mini,3
MS,Mar,Arson,10.20556901,5.190545455,71.32147395,0,Teacup,1
NM,May,Arson,15.20384615,3.852122016,24.43103448,0,Teacup,1
AL,Mar,Arson,10.095842,3.127754678,76.97944377,0,Teacup,1
GA,Apr,Lightning,20.13925019,2.541698546,68.30391341,0,Mini,3
CA,Aug,Lightning,20.7151608,2.20462963,76.34375,0,Mini,3
MT,Aug,Lightning,19.64272623,2.614417532,48.61200924,1,Mini,3
