fire_id,discovery_month,Temp_pre_7,Wind_pre_7,fire_size_bin_no
26020,Aug,29.00119048,4.850595238,4
26118,Mar,7.220238095,2.040425532,4
26128,Apr,-4.855130785,4.23722334,4
26260,Jun,30.30769231,6.915976331,4
26385,May,12.24683544,4.256962025,4
26389,May,27.33333333,3.747272727,4
26396,Jul,18.36,2.34,4
26446,Aug,19.18072289,2.504848485,4
26503,Jun,22.91118012,3.382608696,4
26589,Dec,3.496774194,2.034677419,4
26598,Oct,15.10483871,2.925910931,4
26648,Jun,30.21428571,3.695833333,4
26693,Mar,10.76312849,4.998882682,4
26715,Jul,27.4,3.2061538460000003,4
26802,Nov,15.51358025,3.771604938,4
26804,Apr,3.828061224,5.078571429,4
26893,Jul,17.54268293,2.611585366,4
26912,Sep,7.902453987999999,1.718333333,4
26960,Mar,10.26243655,4.655837563,4
27009,Aug,20.78757396,2.69408284,4
27058,Mar,11.45816733,1.402788845,4
27123,Mar,4.880995475,5.180454545,4
27152,Oct,18.69322709,1.533067729,4
27162,Apr,19.902,2.367670683,4
27341,Mar,6.267088608,4.003821656,4
27414,Mar,9.094375,2.6943396230000003,4
27439,Apr,12.87356828,2.273893805,4
27591,Jul,27.61675393,3.820418848,4
27594,Dec,11.5297619,2.721428571,4
27600,Jun,27.84766839,2.790673575,4
27640,Apr,14.61715481,3.572803347,4
27680,Mar,19.33240557,1.506560636,4
27692,Jul,25,11.76666667,4
27765,Mar,1.369047619,3.445238095,4
27792,Aug,21.23095238,2.463095238,4
27867,Mar,19.02414487,3.960965795,4
27919,Apr,19.12326531,2.6240816330000003,4
27982,Jul,35.55900621,3.517391304,4
28021,Apr,24.81528662,5.594871795,4
28127,Mar,6.660714286,4.37202381,4
28135,Feb,14.16384181,3.148022599,4
28264,Nov,6.729694323,1.295111111,4
28520,Aug,21.57884232,2.829460581,4
28522,Apr,15.56149733,2.394652406,4
28532,Feb,7.242241379,2.44137931,4
28571,Aug,28.13571429,4.160119048,4
28572,Dec,22.72571429,3.701142857,4
28609,Mar,5.318478261,2.8097826089999995,4
28806,Mar,13.94632207,1.808747515,4
28985,Mar,0.324649299,3.518036072,4
29043,Sep,27.45833333,3.200595238,4
29103,Apr,2.589068826,5.291902834,4
29285,Apr,8.801190476,2.8375,4
29384,Apr,9.741071429,3.891666667,4
29385,Mar,11.81097561,5.168292683,4
29387,Jun,26.14058824,2.014117647,4
29422,Apr,16.49633028,2.879723502,4
29484,Aug,22.23313253,3.757317073,4
29519,May,6.560119048,0.947619048,4
29522,Apr,9.740174672,2.33215859,4
29529,Mar,4.755454545,2.530909091,4
29623,Jul,32.10059524,3.952380952,4
29689,Apr,9.280769231,6.336538462,4
29748,Feb,2.919839679,2.31503006,4
29778,Apr,23.52095808,1.817365269,4
29850,May,20.12749004,1.861842105,4
29881,Aug,19.54285714,4.6559523810000005,4
29927,May,29.04069767,3.462790698,4
29968,Aug,26.954337899999995,1.869406393,4
29969,Aug,28.66488095,5.782738095,4
30055,Feb,9.800595238,5.321428571,4
30062,Feb,4.30831643,1.859634888,4
30087,Jul,31.69880952,3.906547619,4
30090,May,26.76484848,3.4957575760000004,4
30189,Mar,4.03125,3.2925,4
30265,Jun,23.92677596,1.621857923,4
30382,Sep,18.23988095,2.585714286,4
30434,Mar,9.792513369,2.627272727,4
30542,Jun,27.89285714,1.75,4
30545,Aug,21.02439024,2.568292683,4
30690,Feb,10.79761905,1.235119048,4
30797,Mar,11.299401199999998,1.551497006,4
30866,Jul,22.69030612,3.312755102,4
30888,Aug,24.11332008,1.896620278,4
31081,Jul,17.16875,2.09296875,4
31237,Aug,33.65066667,3.676,4
31428,Jul,25.93181818,3.365909091,4
31444,Apr,20.23354565,4.314225053,4
31460,Jan,-1.269298246,4.487719298,4
31555,Sep,16.18965517,2.375862069,4
31563,Mar,15.93631841,4.640298507,4
31564,Jun,20.07753479,0.70695825,4
31649,Mar,15.08229426,2.013466334,4
31696,Jun,22.69556025,3.978555305,4
31705,Aug,21.4125,0.558928571,4
31737,Jul,21.220238100000003,4.089880952,4
31798,Nov,9.688690476,1.541666667,4
31822,Jun,24.81428571,3.297714286,4
31895,Jul,30.83826087,5.260869565,4
31903,Dec,7.160696517000001,2.473631841,4
31941,Aug,26.83274854,3.669590643,4
32000,Feb,5.046,2.616,4
32077,Jan,12.28256513,4.28997996,4
32183,Dec,-1.482142857,3.810958904,4
32201,Feb,7.410159362999999,2.902949062,4
32225,Jul,23.23809524,2.869047619,4
32277,Apr,15.39821429,3.729166667,4
32333,Jul,28.00606061,4.184242424,4
32342,Mar,25.45654762,2.755357143,4
32353,Jun,19.22057143,4.645977011,4
32432,Sep,12.61948882,2.997427653,4
32446,Aug,23.04545455,5.053636364,4
32464,Apr,25.67979275,3.283937824,4
32516,Aug,27.29268293,5.1277777780000005,4
32599,Apr,7.739153439,3.695767196,4
32645,Jul,28.18876404,3.087078652,4
32759,Dec,13.46137566,3.583597884,4
32765,Jun,11.52777778,2.413888889,4
32772,Nov,3.75,3.74781746,4
32854,Sep,21.17,2.472,4
32879,Jul,22.87653631,4.839106145,4
32930,May,9.067484663,3.914110429,4
32968,Oct,15.47857143,1.074206349,4
33063,Aug,23.13701431,2.045194274,4
33071,Jul,31.24448898,1.589178357,4
33100,May,25.73684211,2.7060150380000003,4
33122,Oct,19.62991968,1.746478873,4
33284,Sep,26.08450704,1.926156942,4
33366,Sep,25.10447761,1.747305389,4
33378,Sep,22.87302632,2.304605263,4
33442,Feb,15.91902439,4.612195122,4
33518,Jul,27.09879032,1.862096774,4
33547,Aug,34.92592593,3.540740741,4
33608,Jun,30.928,4.466285714,4
33669,Mar,4.0625,6.033928571000001,4
33709,Jun,31.79761905,2.817261905,4
33710,Jul,35.36740331,3.584530387,4
