state,discovery_month,fire_cause,Temp_pre_7,Wind_pre_7,Hum_pre_7,putout_time,fire_size_bin,fire_size_bin_no
OK,Apr,Debris Burning,9.901834862,5.286697248,60.47368421,0,Medium,4
NY,May,Debris Burning,11.94857143,3.127011494,59.21264368,0,Teacup,1
NM,Aug,Lightning,18.48170732,2.530487805,32.04907975,0,Mini,3
WA,Jun,Utilities,21.19513514,2.821621622,33.01621622,6,Teacup,1
MS,Sep,Debris Burning,24.22619048,1.921357285,69.945,0,Teacup,1
TN,Nov,Debris Burning,1.095045045,3.42,65.39090909,0,Teacup,1
FL,Jul,Lightning,27.72897196,4.241121495,73.25233645,0,Teacup,1
MT,Jul,Lightning,21.15957447,3.42606383,55.20108696,1,Mini,3
AL,Feb,Debris Burning,1.3668122269999998,2.843859649,76.18942731,0,Teacup,1
MT,Apr,Debris Burning,4.488317757,5.025700935,70.08530806,0,Teacup,1
AL,Jan,Debris Burning,5.343936382,2.341749503,76.40963855,0,Mini,3
MS,Mar,Arson,11.16864865,5.258918919,71.0,0,Toy,2
AL,Feb,Arson,8.858525346,3.4736111110000003,68.13488372,0,Mini,3
AZ,Jul,Lightning,22.78138298,3.083510638,39.87765957,0,Teacup,1
OK,Feb,Arson,3.820289855,2.979227053,67.83832335,0,Toy,2
NC,Feb,Utilities,5.302186879,1.268190855,61.31701632,0,Teacup,1
MT,Apr,Debris Burning,6.373913043,3.517391304,67.04545455,0,Teacup,1
WV,Jul,Utilities,26.59116022,2.805524862,48.79558011,0,Toy,2
TN,Mar,Debris Burning,4.568992248,2.174806202,70.49799197,0,Teacup,1
SD,Aug,Utilities,24.26592179,4.410055866,49.36312849,0,Medium,4
MN,Apr,Arson,10.42460317,5.156150794,54.50198413,0,Medium,4
AR,Sep,Arson,20.98864865,0.896756757,71.15882353,0,Teacup,1
MO,Apr,Arson,15.41747573,5.126213592,52.50980392,1,Teacup,1
MS,Mar,Arson,11.11845238,3.202380952,52.01785714,0,Medium,4
MT,Aug,Utilities,21.91729323,4.190601504,34.48120301,0,Medium,4
GA,Jun,Arson,25.73417722,4.169620253,64.25641026,1,Teacup,1
SD,Apr,Accidental,6.871287129,7.155445545,57.37623762,0,Teacup,1
MS,Mar,Debris Burning,11.0742515,1.680838323,67.94610778,0,Teacup,1
OR,Jul,Lightning,17.42857143,0.867532468,61.48979592,0,Teacup,1
WA,Aug,Debris Burning,24.7391129,4.1384615380000005,32.55060729,69,Teacup,1
MS,Sep,Arson,23.65771429,3.0857142860000004,56.07647059,0,Medium,4
NM,Aug,Lightning,19.89902913,2.92184466,62.18446602,0,Teacup,1
MI,Jul,Utilities,24.83928571,4.075595238,79.42857143,0,Mini,3
WY,Aug,Lightning,17.91230769,5.151794872,56.33333333,1,Toy,2
FL,Feb,Utilities,15.68878924,2.623766816,80.39459459,0,Teacup,1
WV,Apr,Accidental,14.22715517,3.412068966,47.19565217,1,Medium,4
FL,Aug,Lightning,20.16309524,2.558333333,77.0625,1,Medium,4
GA,Apr,Debris Burning,22.36904762,3.448717949,56.12857143,0,Teacup,1
AL,May,Arson,20.03092784,3.071649485,70.49681529,0,Teacup,1
SC,Mar,Debris Burning,17.03959391,2.362944162,76.13333333,0,Mini,3
AK,Jun,Lightning,14.63961814,3.4011990410000004,39.89448441,8,Medium,4
WV,Nov,Accidental,14.06578947,3.026315789,66.98684211,0,Teacup,1
SC,Jun,Utilities,23.62133891,1.633891213,66.77874187,0,Mini,3
MS,Aug,Utilities,27.28025478,1.824675325,70.75,0,Toy,2
AZ,Jul,Accidental,38.14674556,4.323353293,22.95209581,4,Mini,3
MS,Aug,Debris Burning,25.78392857,1.419642857,78.66071429,0,Mini,3
UT,Jul,Lightning,28.72413793,1.975862069,30.0,2,Medium,4
TX,Jul,Debris Burning,27.19137056,1.797435897,72.88717949,0,Mini,3
CA,Oct,Arson,16.48965517,2.247126437,54.37356322,0,Teacup,1
GA,Sep,Debris Burning,21.72654028,2.945023697,73.13978495,0,Mini,3
ME,Jul,Arson,23.98511905,3.517261905,69.29761905,0,Teacup,1
KY,Oct,Debris Burning,12.44047619,1.4416666669999998,67.81818182,1,Mini,3
MT,Sep,Accidental,23.27514451,5.056647399,37.3583815,0,Teacup,1
GA,Aug,Debris Burning,28.96215139,1.897211155,63.24455206,0,Teacup,1
KY,Apr,Debris Burning,16.14300518,1.824870466,46.83246073,0,Mini,3
TN,Apr,Debris Burning,11.83246073,3.441884817,64.51666667,0,Toy,2
OK,Mar,Arson,10.35990338,3.431884058,69.65217391,3,Large,5
WA,Jun,Arson,15.46976744,2.775641026,47.01282051,3,Teacup,1
MI,May,Debris Burning,14.49101796,2.386227545,62.8875,0,Teacup,1
MS,Mar,Arson,6.055357142999999,5.625595238,66.57142857,0,Mini,3
MN,Apr,Arson,5.446812748999999,3.394023904,48.57884232,0,Teacup,1
SD,Jun,Accidental,20.72972973,4.608783784,58.87412587,0,Teacup,1
AZ,Jul,Arson,26.97124736,1.439112051,55.96617336,0,Teacup,1
NM,May,Lightning,19.68070175,4.818421053,38.50877193,2,Mini,3
MS,Mar,Arson,9.161616162,3.702525253,58.94949495,0,Toy,2
TX,Aug,Utilities,32.55976096,2.511354582,47.78884462,0,Teacup,1
NY,May,Arson,11.8,3.051075269,65.03932584,0,Teacup,1
GA,Apr,Utilities,17.62186047,3.936744186,77.38834951,0,Toy,2
PA,Mar,Debris Burning,2.617888563,2.914076246,57.53169014,3,Teacup,1
MS,Sep,Arson,22.88342541,2.053038674,70.6519337,0,Teacup,1
GA,Mar,Debris Burning,14.98396794,3.066733467,51.86744186,0,Teacup,1
AZ,Jun,Accidental,24.88571429,3.238095238,29.28571429,0,Toy,2
MS,Feb,Utilities,15.05421687,2.199393939,69.94409938,2,Teacup,1
TX,Aug,Lightning,28.02114943,2.956551724,36.32413793,0,Medium,4
AL,Nov,Arson,8.642642643,2.771771772,79.40939597,0,Teacup,1
MS,Feb,Utilities,10.56964286,1.905952381,67.38690476,0,Mini,3
ID,Aug,Lightning,21.92650334,1.775723831,42.03786192,12,Large,5
OK,Feb,Arson,10.32666667,3.572727273,70.52201258,0,Teacup,1
CO,Mar,Accidental,4.528089888,4.434831461,44.6011236,0,Teacup,1
MS,May,Arson,27.68118812,3.261386139,56.90099010000001,0,Teacup,1
MN,May,Accidental,9.033730159,5.133732535,68.85154639,0,Mini,3
NM,Jul,Lightning,18.76190476,3.024404762,39.18055556,1,Toy,2
GA,Mar,Debris Burning,14.25729537,2.016014235,80.81349206,0,Teacup,1
TX,Aug,Arson,28.35515464,1.832989691,75.32989691,0,Teacup,1
GA,Jul,Arson,28.84695122,1.432317073,71.65822785,0,Toy,2
GA,Jul,Utilities,29.20299401,1.708982036,58.23952096,0,Teacup,1
NY,Apr,Lightning,6.184210526,2.340350877,67.27027027,0,Teacup,1
ID,Jul,Lightning,24.20175439,3.071345029,39.26900585,0,Toy,2
ND,May,Debris Burning,15.05357143,5.494011976,70.21556886,0,Mini,3
FL,Aug,Lightning,27.46305419,1.675862069,77.5320197,0,Toy,2
OK,Jul,Utilities,26.39516908,3.32815534,73.12135922,0,Mini,3
NM,Jul,Lightning,21.69805195,4.006493506,51.99350649,0,Teacup,1
KY,Mar,Arson,8.592814371000001,2.037724551,57.15060241,3,Teacup,1
WI,Apr,Utilities,9.542857143,4.906547619,52.94047619,0,Mini,3
